Branch_Name
Bio Technology
Mechanical & Automation Engineering
Production Engineering[Sandwich]
Automation and Robotics
Instrumentation Engineering
Robotics and Artificial Intelligence
Civil Engineering
Artificial Intelligence (AI) and Data Science
5G
Mechanical Engineering Automobile
Electrical and Electronics Engineering
Computer Science and Business Systems
Electronics and Computer Science
Computer Science and Design
Agricultural Engineering
Oil Technology
Electronics and Communication (Advanced Communication Technology)
Robotics
Electronics Engineering
Manufacturing Science and Engineering
Oil Fats and Waxes Technology
Food Engineering and Technology
Electrical Engineering
Industrial IoT
Logistics
Petro Chemical Engineering
Electronics and Communication Engineering
Electrical Engg[Electronics and Power]
Technical Textiles
Robotics and Automation
"Electrical, Electronics and Power"
Artificial Intelligence and Data Science
Computer Science and Engineering (Artificial Intelligence)
Safety and Fire Engineering
Computer Science
Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
Textile Plant Engineering
Metallurgy and Material Technology
Electronics and Telecommunication Engg
Computer Science and Engineering (Cyber Security)
Computer Engineering (Software Engineering)
Electronics and Communication(Advanced Communication Technology)
Petro Chemical Technology
Fibres and Textile Processing Technology
Chemical Engineering
Agriculture Engineering
Pharmaceuticals Chemistry and Technology
Electronics Engineering ( VLSI Design and Technology)
Printing Technology
Bio Medical Engineering
Architectural Assistantship
Civil and Environmental Engineering
Computer Science and Technology
"Oil,Oleochemicals and Surfactants Technology"
Plastic and Polymer Technology
Structural Engineering
Computer Engineering
Computer Science and Engineering(Data Science)
Plastic Technology
Artificial Intelligence
Automotive Technology
Computer Engineering (Regional Language)
Fashion Technology
Mechanical Engineering
Man Made Textile Technology
Dyestuff Technology
Pharmaceutical and Fine Chemical Technology
Production Engineering
VLSI
Mechanical Engineering[Sandwich]
Mechanical and Mechatronics Engineering (Additive Manufacturing)
Paper and Pulp Technology
Automobile Engineering
Internet of Things (IoT)
Aeronautical Engineering
Artificial Intelligence and Machine Learning
Mechatronics Engineering
Plastic and Polymer Engineering
Textile Technology
Polymer Engineering and Technology
Surface Coating Technology
Electrical and Computer Engineering
Food Technology
Paints Technology
Printing and Packing Technology
Cyber Security
Electronics and Computer Engineering
Oil and Paints Technology
Computer Science and Engineering (Artificial Intelligence and Data Science)
Mining Engineering
Instrumentation and Control Engineering
Civil Engineering and Planning
Computer Science and Engineering(Artificial Intelligence and Machine Learning)
Information Technology
Computer Science and Engineering(Cyber Security)
Data Science
Computer Science and Engineering
Textile Chemistry
Computer Technology
Fire Engineering
Food Technology And Management
Data Engineering
Textile Engineering / Technology
Electronics and Biomedical Engineering
Computer Science and Information Technology
Computer Science and Engineering (IoT)
Electrical Engg [Electrical and Power]
Civil and infrastructure Engineering
